*Name: Leaf bot
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.011534	0.010812	-0.00051116
371	0.016174	0.015313	-0.00021297
372	0.019998	0.019225	-0.00098898
373	0.024149	0.023338	-5.5393e-05
374	0.028171	0.027232	0.0017265
375	0.03146	0.030394	0.003528
376	0.033071	0.032074	0.0048029
377	0.033616	0.032809	0.0072231
378	0.032732	0.032178	0.010119
379	0.033268	0.032623	0.010612
380	0.033772	0.033262	0.011879
381	0.033502	0.032991	0.011499
382	0.033172	0.03257	0.010597
383	0.033655	0.033006	0.010411
384	0.033839	0.033233	0.009618
385	0.033348	0.032939	0.0076785
386	0.032441	0.03216	0.0050022
387	0.03301	0.03259	0.0052775
388	0.033744	0.033183	0.0057591
389	0.033889	0.033268	0.005415
390	0.033982	0.033458	0.0062186
391	0.034625	0.034165	0.0083406
392	0.035082	0.034639	0.009611
393	0.035676	0.035265	0.010559
394	0.036435	0.036102	0.011805
395	0.036927	0.036643	0.012641
396	0.037244	0.036997	0.013345
397	0.037527	0.037375	0.013788
398	0.037795	0.037769	0.014082
399	0.038171	0.038179	0.014377
400	0.038222	0.038189	0.013849
401	0.038394	0.038385	0.013738
402	0.038172	0.038186	0.01306
403	0.03778	0.037771	0.012248
404	0.037667	0.037615	0.012223
405	0.037315	0.037213	0.011533
406	0.03696	0.036846	0.010758
407	0.037245	0.037175	0.011127
408	0.03715	0.037124	0.010659
409	0.03687	0.036894	0.0099594
410	0.036938	0.037005	0.010036
411	0.037196	0.037298	0.010394
412	0.037643	0.037738	0.011083
413	0.038153	0.038226	0.011861
414	0.038231	0.038346	0.011849
415	0.038299	0.038456	0.011885
416	0.038471	0.038649	0.012118
417	0.038571	0.038736	0.012277
418	0.038562	0.03872	0.012237
419	0.038605	0.038779	0.012332
420	0.0387	0.038883	0.012548
421	0.0389	0.039082	0.012849
422	0.038885	0.039066	0.012784
423	0.038896	0.039076	0.012806
424	0.03911	0.039276	0.013194
425	0.039201	0.039345	0.013363
426	0.039247	0.039358	0.01342
427	0.039328	0.039425	0.013578
428	0.039396	0.039491	0.013679
429	0.039487	0.039581	0.01375
430	0.039491	0.039599	0.013675
431	0.03937	0.039499	0.013475
432	0.039437	0.039594	0.013653
433	0.039597	0.039779	0.014052
434	0.039748	0.039918	0.014383
435	0.039858	0.040017	0.014595
436	0.040017	0.040174	0.014905
437	0.04021	0.04037	0.0153
438	0.040387	0.040549	0.015649
439	0.040543	0.040699	0.015926
440	0.040629	0.040767	0.016056
441	0.040637	0.040766	0.016073
442	0.040632	0.040745	0.016005
443	0.040639	0.04074	0.01595
444	0.040538	0.040634	0.015806
445	0.04044	0.040527	0.01573
