*Name: Leaf top
Type: Leaf Spectrum

Origin: Remote Sensing Laboratories, University of Zurich

Description: abaxial reflectance, adaxial reflectance, and adaxial transmittance

Measurement: Hemispherical Conical Reflectance Factor HCRF measured by ASD Integrating Sphere

Wavelength [nm]	abaxial Reflectance [0 1]	adaxial Reflectance [0 1]	adaxial Transmittance [0 1]
370	0.015305	0.014557	-0.0020469
371	0.020817	0.019945	-0.0022913
372	0.025222	0.024241	-0.0044503
373	0.029835	0.02878	-0.0049957
374	0.034047	0.032909	-0.0047309
375	0.037202	0.035963	-0.0044032
376	0.038714	0.037437	-0.0040814
377	0.038915	0.037693	-0.0026031
378	0.03726	0.036168	-0.00045777
379	0.037326	0.036201	-0.00022702
380	0.037531	0.036548	0.00051821
381	0.037474	0.036477	0.00037155
382	0.037464	0.036369	0.00013855
383	0.038018	0.036884	0.00085825
384	0.038101	0.03709	0.0013779
385	0.037434	0.03655	0.00054536
386	0.036366	0.035602	-0.0012518
387	0.03677	0.036109	-4.5951e-05
388	0.037281	0.036675	0.0011012
389	0.037419	0.03688	0.0013698
390	0.037875	0.037428	0.0022773
391	0.038719	0.038338	0.0037283
392	0.039162	0.038781	0.0042689
393	0.03958	0.03916	0.0046859
394	0.04017	0.039745	0.0054514
395	0.040471	0.040008	0.005711
396	0.040599	0.0401	0.0057159
397	0.040808	0.040253	0.0057154
398	0.041008	0.040382	0.0058715
399	0.041252	0.040587	0.0062437
400	0.041143	0.040482	0.0059588
401	0.041145	0.040469	0.0059534
402	0.040917	0.040245	0.0054827
403	0.040629	0.039987	0.0047181
404	0.040588	0.039961	0.0043599
405	0.040251	0.039644	0.0035334
406	0.03992	0.039354	0.0027923
407	0.040209	0.039656	0.0032168
408	0.040166	0.039572	0.0029271
409	0.039979	0.039353	0.0024002
410	0.040101	0.039498	0.0025363
411	0.040431	0.039835	0.00301
412	0.040914	0.040328	0.0037809
413	0.041465	0.040905	0.0046871
414	0.041634	0.041097	0.0048717
415	0.041852	0.04132	0.005156
416	0.042183	0.041632	0.0055806
417	0.042402	0.041865	0.0057794
418	0.042505	0.041996	0.0058205
419	0.042683	0.042207	0.0059811
420	0.042953	0.042503	0.006302
421	0.043264	0.042791	0.0067066
422	0.043374	0.042866	0.0067567
423	0.043515	0.042984	0.0068731
424	0.043832	0.043268	0.0073314
425	0.044057	0.04344	0.0076046
426	0.044242	0.043593	0.0078125
427	0.044547	0.043868	0.0082273
428	0.044822	0.044116	0.0086205
429	0.045095	0.044359	0.0090367
430	0.045254	0.044488	0.0092811
431	0.045279	0.044513	0.0093418
432	0.045482	0.044705	0.0096921
433	0.045783	0.04499	0.010197
434	0.04607	0.045264	0.010706
435	0.04628	0.045471	0.011092
436	0.046526	0.04574	0.011541
437	0.046772	0.04601	0.011988
438	0.046983	0.046228	0.012387
439	0.047157	0.046417	0.012714
440	0.047284	0.046557	0.012888
441	0.047376	0.046646	0.013002
442	0.047406	0.046686	0.013056
443	0.047434	0.046727	0.01312
444	0.047364	0.046664	0.013026
445	0.047332	0.046629	0.012978
446	0.047361	0.046643	0.013006
447	0.047458	0.046718	0.013165
448	0.047611	0.046848	0.013447
449	0.047775	0.046998	0.013758
450	0.047908	0.047125	0.014037
451	0.048043	0.047247	0.01432
452	0.048293	0.047488	0.014809
453	0.048586	0.047772	0.015366
454	0.048802	0.047984	0.015778
455	0.048892	0.048083	0.016045
456	0.048951	0.048154	0.016282
457	0.049116	0.048336	0.016668
458	0.049203	0.048431	0.016916
459	0.049244	0.048468	0.017064
460	0.049283	0.048502	0.017177
461	0.049297	0.048517	0.017282
462	0.049286	0.048506	0.01734
463	0.049292	0.048506	0.017404
464	0.049263	0.048476	0.017408
465	0.049269	0.048484	0.017451
466	0.049312	0.048532	0.017551
467	0.049421	0.048647	0.01778
468	0.049522	0.048755	0.018006
469	0.049592	0.048827	0.018179
470	0.04963	0.048865	0.018292
471	0.049756	0.048991	0.018521
472	0.049847	0.049073	0.018689
473	0.049906	0.049127	0.018817
474	0.049909	0.049143	0.018862
475	0.04991	0.049163	0.018933
476	0.050003	0.049268	0.019146
477	0.050093	0.049366	0.019319
478	0.050085	0.04937	0.019335
479	0.050037	0.049331	0.019286
480	0.050039	0.049336	0.019323
481	0.050073	0.049371	0.019426
482	0.050067	0.049364	0.019465
483	0.050044	0.049334	0.019474
484	0.050048	0.04933	0.019523
485	0.050124	0.049393	0.019674
486	0.050186	0.049442	0.019803
487	0.050245	0.049499	0.019964
488	0.050279	0.049538	0.020089
489	0.050375	0.049639	0.020304
490	0.050615	0.049882	0.020741
491	0.050789	0.050066	0.02106
492	0.050896	0.050183	0.02128
493	0.051017	0.050298	0.021523
494	0.051205	0.050477	0.021881
495	0.051413	0.05068	0.022284
496	0.051661	0.050918	0.022769
497	0.05194	0.051177	0.023291
498	0.052254	0.051468	0.023861
499	0.052577	0.051769	0.024453
500	0.052918	0.052095	0.025089
501	0.053301	0.052465	0.025834
502	0.053691	0.052839	0.026612
503	0.054163	0.053298	0.027523
504	0.054766	0.053888	0.028669
505	0.055365	0.054471	0.029827
506	0.055958	0.055049	0.030989
507	0.056627	0.055686	0.032285
508	0.057371	0.0564	0.033732
509	0.058201	0.057195	0.035342
510	0.059057	0.058008	0.037014
511	0.059949	0.05885	0.038742
512	0.060917	0.059768	0.040615
513	0.061987	0.060793	0.042695
514	0.063117	0.061875	0.044891
515	0.064274	0.062973	0.047157
516	0.065501	0.064135	0.049573
517	0.066883	0.065455	0.052245
518	0.068371	0.066873	0.055105
519	0.069871	0.068302	0.058001
520	0.071426	0.069794	0.060987
521	0.07307	0.071369	0.064118
522	0.074771	0.072997	0.067332
523	0.076499	0.074649	0.070562
524	0.078204	0.076281	0.073733
525	0.07992	0.077928	0.076898
526	0.081631	0.079576	0.080028
527	0.083319	0.081205	0.083101
528	0.084935	0.082765	0.08602
529	0.086494	0.084271	0.088813
530	0.088007	0.085736	0.091523
531	0.089477	0.087165	0.094136
532	0.090847	0.088497	0.096563
533	0.092105	0.089722	0.098802
534	0.093314	0.090908	0.10094
535	0.094424	0.092	0.10291
536	0.095393	0.092957	0.10464
537	0.096263	0.093818	0.10619
538	0.097047	0.094598	0.1076
539	0.097713	0.095267	0.10883
540	0.098281	0.09584	0.1099
541	0.098782	0.096351	0.11086
542	0.099255	0.09684	0.11177
543	0.099689	0.097294	0.11261
544	0.1001	0.097731	0.11342
545	0.10054	0.098187	0.11426
546	0.10096	0.098634	0.11507
547	0.10137	0.099082	0.11589
548	0.10178	0.09952	0.11669
549	0.10218	0.099958	0.11747
550	0.10255	0.10036	0.11821
551	0.1029	0.10074	0.11891
552	0.1032	0.10107	0.11952
553	0.10341	0.10131	0.12001
